Product code,Categories,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
030572,Fish,"Fish heads, tails and maws, smoked, dried, salted or in brine",0,0,0,0,0,0,0,0,0,0,0,0,63,2,0,0,0,42
030819,Fish,"Smoked, frozen, dried, salted or in brine, sea cucumbers ""Stichopus japonicus, Holothurioidea""",0,0,0,0,0,0,0,0,0,0,0,0,7,49,0,0,141,532
160555,Fish,"Octopus, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,261,0,15,0,0,604,674
030324,Fish,"Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,28,19,0,40,0,0
030326,Fish,"Frozen eels ""Anguilla spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
030539,Fish,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
030771,Fish,"Live, fresh or chilled, even in shell, clams, cockles and ark shells ""families Arcidae, Arcticidae, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
160552,Fish,"Scallops, incl. queen scallops, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
160559,Fish,"Molluscs, prepared or preserved (excluding smoked, oysters, scallops, mussels, cuttle fish, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
030111,Fish,Live ornamental freshwater fish,0,0,0,0,0,0,0,0,0,0,0,1261,1307,1105,1027,1098,1361,1832
030119,Fish,Live ornamental fish (excluding freshwater),0,0,0,0,0,0,0,0,0,0,0,1422,1458,1198,1202,1782,1600,1731
030289,Fish,"Fresh or chilled fish, n.e.s.",0,0,0,0,0,0,0,0,0,0,0,103,130,286,862,1855,1584,1847
030354,Fish,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""",0,0,0,0,0,0,0,0,0,0,0,132,59,12,397,223,67,20
